Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,0.110677,0.125571,0.110625,0.123070,0.123070,6339334762
2021-04-09,0.123107,0.124811,0.114702,0.115934,0.115934,3535987595
2021-04-10,0.115942,0.127434,0.113069,0.125983,0.125983,4226862320
2021-04-11,0.126398,0.126806,0.118111,0.122353,0.122353,3489511001
2021-04-12,0.122297,0.137109,0.121904,0.129048,0.129048,6239467781
2021-04-13,0.128715,0.155170,0.128273,0.146298,0.146298,8237122751
2021-04-14,0.146449,0.156093,0.133210,0.140694,0.140694,7445604413
2021-04-15,0.140531,0.168574,0.136450,0.164650,0.164650,8681561025
2021-04-16,0.164327,0.177723,0.136185,0.162089,0.162089,9411593702
2021-04-17,0.161602,0.179934,0.154469,0.157435,0.157435,7661537252
2021-04-18,0.157326,0.158415,0.124930,0.142879,0.142879,7549173251
2021-04-19,0.143079,0.147770,0.129866,0.130239,0.130239,5266036570
2021-04-20,0.129910,0.134806,0.117601,0.133035,0.133035,5231143613
2021-04-21,0.132965,0.135327,0.122897,0.123080,0.123080,3024231904
2021-04-22,0.122809,0.129519,0.109532,0.110130,0.110130,4066582030
2021-04-23,0.110150,0.112377,0.091017,0.109025,0.109025,6294975868
2021-04-24,0.109104,0.114285,0.102281,0.102706,0.102706,3719956116
2021-04-25,0.102652,0.109817,0.096836,0.101471,0.101471,2540298957
2021-04-26,0.101684,0.117295,0.100364,0.117295,0.117295,2892838739
2021-04-27,0.117363,0.128731,0.115612,0.125794,0.125794,3041272610
2021-04-28,0.125935,0.129644,0.116533,0.122684,0.122684,2371003551
2021-04-29,0.122777,0.125250,0.117767,0.121265,0.121265,1872811999
2021-04-30,0.121249,0.132927,0.118948,0.132229,0.132229,2368983198
2021-05-01,0.132365,0.133449,0.127611,0.131108,0.131108,1935148532
2021-05-02,0.131055,0.132121,0.125542,0.127653,0.127653,1746230679
2021-05-03,0.127648,0.136429,0.127470,0.131614,0.131614,2740304989
2021-05-04,0.131698,0.131766,0.118138,0.119394,0.119394,2897234578
2021-05-05,0.119182,0.146353,0.117878,0.146353,0.146353,5159319860
2021-05-06,0.146491,0.158036,0.137854,0.151773,0.151773,6468289634
2021-05-07,0.152031,0.169162,0.139634,0.147680,0.147680,6775689483
2021-05-08,0.147588,0.152767,0.141513,0.143111,0.143111,3500456762
